
 Lista de Imóveis da Caixa;;Data de geração:;12/12/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555530597864 ;SP ;BAURU ;JARDIM VIADUTO ;RUA MARIO GONZAGA JUNQUEIRA, N. 25-80, Apto 43, BL 12 ;262.368,30;160.000,00;0.00;Apartamento, 52.67 de área total, 46.81 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530597864
 8444425974007 ;SP ;BAURU ;JARDIM MARILIA ;RUA CORONEL JOAO CASTEIN CASTILHO, N. SN, LT 5/6/7-C QD 2-A ;155.545,51;89.375,00;0.00;Casa, 25.00 de área total, 25.00 de área privativa, 150.00 de área do terreno,  1 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425974007
 8444425875416 ;SP ;BAURU ;JARDIM MARABA ;AVENIDA ORLANDO BRAZ LOUREIRO, N. SN, LT G-1 QD 61 ;120.843,29;65.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 180.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425875416
 8444425819206 ;SP ;BAURU ;JARDIM VANIA MARIA ;RUA JUSAKU MATSUMOTO, N. 3-58, LT 8-A QD 9 ;251.124,07;133.000,00;0.00;Prédio, 0.00 de área total, 28.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425819206
 8444432149512 ;SP ;BAURU ;JARDIM NICEIA ;RUA FRANCISCO POLIDO, N. SN, LT 05/06-C QD 6 ;182.913,05;78.500,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 168.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432149512
 8555538876940 ;SP ;BIRIGUI ;BIRIGUI ;RUA 05, N. 1202, QD G7, LT 04 ;36.784,14;100.000,00;63.22;Casa, 0.00 de área total, 43.94 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538876940
 8787702765680 ;SP ;BIRIGUI ;PATRIMONIO SILVARES ;VIA DE ACESSO A, N. SN, Apto 202, BL 29, VG 264 ;76.637,10;154.000,00;50.24;Apartamento, 0.00 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702765680
 8787710426759 ;SP ;BIRIGUI ;Birigui ;R ANTONIA CHIMENES MAFFEIS, N. 974, LT 02 QD I9 ;77.134,75;155.000,00;50.24;Casa, 0.00 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710426759
 8555540028447 ;SP ;BIRIGUI ;PORTAL DO PQ III ;RUA 2, N. 1336, LT 20 QD C3 ;53.640,42;101.000,00;46.90;Casa, 0.00 de área total, 43.94 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555540028447
 8555540039198 ;SP ;BIRIGUI ;PORTAL DO PARQUE III ;RUA 7, N. 111, LT 33, QD C3 ;63.942,61;120.000,00;46.72;Casa, 0.00 de área total, 43.94 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555540039198
 8787710245886 ;SP ;BIRIGUI ;PORTAL DO PARQUE III ;RUA ANTONIA CHIMENES MAFFEIS, N. 1006, ;66.437,71;122.000,00;45.55;Casa, 0.00 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710245886
 8787707322336 ;SP ;BIRIGUI ;VILA GIAMPIETRO ; VIA DE ACESSO A, N. SN, Apto 303, BL13 VAGA 403 ;76.269,10;140.000,00;45.53;Apartamento, 0.00 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707322336
 8787702609610 ;SP ;BIRIGUI ;PATRIMONIO SANTO ANTONIO ; VIA DE ACESSO A, N. SN, Apto 304, 2º ANDAR BL 6 VG 10 ;71.540,22;130.000,00;44.97;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702609610
 8787703016451 ;SP ;BIRIGUI ;RESIDENCIAL SAN MARINO ;RUA  ACESSO A, N. 78, Apto 404, 3 ANDAR BL 11 VG 393 ;83.428,47;150.000,00;44.39;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703016451
 8787703448157 ;SP ;BIRIGUI ;CENTRO ; ACESSO A ESTRADA MUNICIPAL BGI 352, N. 78, Apto 302, 302, 13VIA DE ACESSO A ;83.428,47;150.000,00;44.39;Apartamento, 0.00 de área total, 39.30 de área privativa, 100.16 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703448157
 8555538946523 ;SP ;BIRIGUI ;CONJUNTO HABITACIONAL VEREADOR FLAVIO MA ;RUA ANTONIA CHIMENES MAFFEIS (ANTIGA RUA 5), N. 1250, QD G7 LT 10 ;61.285,44;110.000,00;44.29;Casa, 43.94 de área total, 43.94 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538946523
 8787705336216 ;SP ;BIRIGUI ;PARQUE DOM PEDRO ; RUA PROGETADA 1, N. 1.111, ;56.444,48;100.000,00;43.56;Casa, 0.00 de área total, 43.95 de área privativa, 155.40 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705336216
 8787706187265 ;SP ;BIRIGUI ;PARQUE DOM PEDRO ;RUA FRANCISCO NUNES, N. 810, ;88.478,10;155.000,00;42.92;Casa, 0.00 de área total, 43.95 de área privativa, 179.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706187265
 8787710241155 ;SP ;BIRIGUI ;VILA GIAMPIETRO ;VIA DE ACESSO A, N. 78, Apto 401, BL 11, VG 390 ;79.344,72;138.999,74;42.92;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710241155
 8787708721307 ;SP ;BIRIGUI ;PARQUE DOM PEDRO ; RUA FRANCISCO NUNES (PROJETADA 1), N. 1243, ;62.856,87;110.000,00;42.86;Casa, 73.95 de área total, 73.95 de área privativa, 155.40 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708721307
 8787703223759 ;SP ;BIRIGUI ;PARQUE DOM PEDRO ;RUA PROJETADA 1, N. 715, QD 07 LT 19B ;51.523,68;89.000,00;42.11;Casa, 43.95 de área total, 43.95 de área privativa, 155.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703223759
 8787709269904 ;SP ;BIRIGUI ;RESIDENCIAL SAN MARINO ;RUA ACESSO A, N. 78, Apto 102, BL 8 ;75.305,50;130.000,00;42.08;Apartamento, 88.28 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709269904
 8787709553335 ;SP ;BIRIGUI ;CONJUNTO HABITACIONAL VEREADOR FLAVIO MA ;RUA ANTONIA CHIMENES MAFFEIS, N. 1134, LT 22 QD 19 ;78.201,87;135.000,00;42.08;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709553335
 8787710581096 ;SP ;BIRIGUI ;PORTAL DO PARQUE III ;RUA ANTONIA CHIMENES MAFFEIS, N. 1078, ;78.201,87;135.000,00;42.08;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710581096
 8787713449954 ;SP ;BIRIGUI ;RESIDENCIAL SAN MARINO ;RUA ACESSO A, N. 78, Apto 301, BL 19 ;78.491,51;135.500,00;42.08;Apartamento, 100.10 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713449954
 8787701060887 ;SP ;BIRIGUI ;BIRIGUI ; VIA DE ACESSO A, N. S/N, Apto 402, 4º PAVIMENTO, BLOCO 21 ;84.892,14;145.000,00;41.46;Apartamento, 90.08 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701060887
 8787702891979 ;SP ;BIRIGUI ;VILA GIAMPIETRO ;RUA ARMANDO DELLE, N. SN, Apto 204, 2 PAV BL 26 VAGA DE GARAGEM N.236 ;87.233,99;149.000,00;41.46;Apartamento, 90.08 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702891979
 8787703343339 ;SP ;BIRIGUI ;BIRIGUI ; VIA DE ACESSO A, N. S/N, Apto 102, 1º PAVIMENTO, BLOCO 21 ;90.161,30;154.000,00;41.46;Apartamento, 91.91 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703343339
 8787704479358 ;SP ;BIRIGUI ;PQ BOSQUE GIRASSOIS ;RUA ACESSO A, N. S/N, Apto 204, 1 ANDAR  BL 21 PAV 2  VAGA GARAGEM 214 ;90.161,30;154.000,00;41.46;Apartamento, 90.08 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704479358
 8787706897874 ;SP ;BIRIGUI ;BOSQUE DOS GIRASSOIS ; VIA DE ACESSO A, N. S/N, Apto 302, BL 13 BOX 402 ;86.063,06;147.000,00;41.46;Apartamento, 90.08 de área total, 44.01 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706897874
 8787713239097 ;SP ;BIRIGUI ;BIRIGUI ;RUA LUIGI GASPAROTTO (ANTIGA RUA 11), N. 66, ;90.746,77;155.000,00;41.46;Casa, 0.00 de área total, 44.82 de área privativa, 160.96 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713239097
 8787713445657 ;SP ;BIRIGUI ;PORTAL DO PARQUE III ; RUA SEVERINO PULZATTO, N. 368, LT 08 QD Y ;81.911,88;139.909,57;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 166.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713445657
 8787713548820 ;SP ;BIRIGUI ;BIRIGUI ; RUA SEVERINO PULZATTO, N. 432, LT 16, QD Y ;84.892,14;145.000,00;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 166.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713548820
 8444425576893 ;SP ;BIRIGUI ;RESIDENCIAL PORTAL DA PEROLA ;RUA ANTONIO REAL DIAS, N. 259, ;97.778,11;165.000,00;40.75;Casa, 57.32 de área total, 57.32 de área privativa, 126.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425576893
 8787714162853 ;SP ;BIRIGUI ;BIRIGUI ; RUA DELPHINO IORI, N. 58, LT 07, QD V ;98.370,70;166.000,00;40.75;Casa, 44.82 de área total, 44.82 de área privativa, 160.96 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714162853
 8787707433154 ;SP ;BIRIGUI ;RESIDENCIAL SAN MARINO ;VIA DE ACESSO A, N. 78, Apto 303, BL 11 VG 388 ;94.873,91;143.000,00;33.66;Apartamento, 88.28 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707433154
 8787704340244 ;SP ;BIRIGUI ;CONJUNTO HABITACIONAL PREFEITO FRANCISCO ;RUA JOSE MOROSO NETO, N. 648, LT 05 QD M - RUA PROJETADA 11 ;126.000,00;126.000,00;0.00;Casa, 49.18 de área total, 49.18 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704340244
 8787704773124 ;SP ;BIRIGUI ;CONJUNTO HABITACIONAL PREFEITO FRANCISCO ;RUA ALFREDO ZAMPIERI, N. 865, LT 21 QD O - ANTIGA RUA PROJETADA 08 ;115.000,00;115.000,00;0.00;Casa, 49.18 de área total, 49.18 de área privativa, 170.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704773124
 8787708544189 ;SP ;BIRIGUI ;VILA GIAMPIETRO ;VIA DE ACESSO A - ESTRADA MUNICIPAL BGI 352, N. 78, Apto 201, BL 22 VG 184 E 185 RUA ARMANDO DELLE ;150.000,00;150.000,00;0.00;Apartamento, 100.10 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708544189
 8444425282180 ;SP ;BIRIGUI ;RESIDENCIAL ATENAS ;RUA AURELIANO ALVES DE SOUZA, N. 168, LT 11 QD I-07 ;170.130,26;162.000,00;0.00;Casa, 71.66 de área total, 71.66 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425282180
 10214179 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA MOACIR AMADEI, N. 00, QD S, LT 08 ;62.625,77;105.000,00;40.36;Terreno, 0.00 de área total, 0.00 de área privativa, 212.99 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214179
 8787717491157 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;ESTRADA MUNICIP BATISTA FAVORETTI, N. 1311, CS 69 ;132.000,00;220.000,00;40.00;Casa, 281.87 de área total, 44.01 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717491157
 10214176 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA MOACIR AMADEI, N. 00, QD S, LT 09 ;58.399,80;96.700,00;39.61;Terreno, 0.00 de área total, 0.00 de área privativa, 214.15 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214176
 10214181 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA MOACIR AMADEI, N. 00, QD S, LT 05 ;59.426,48;98.400,00;39.61;Terreno, 0.00 de área total, 0.00 de área privativa, 218.59 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214181
 10214183 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA MOACIR AMADEI, N. 00, QD S, LT 07 ;57.856,26;95.800,00;39.61;Terreno, 0.00 de área total, 0.00 de área privativa, 211.74 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214183
 10214187 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA MOACIR AMADEI, N. 00, QD S, LT 06 ;57.977,05;96.000,00;39.61;Terreno, 0.00 de área total, 0.00 de área privativa, 212.74 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214187
 8787713636592 ;SP ;BOITUVA ;JARDIM PRIMAVERA ;RUA BRUNA VENTURINI VERCELLINO, N. 105, Apto 96, ;136.013,39;225.033,67;39.56;Apartamento, 101.34 de área total, 46.13 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713636592
 8787712267135 ;SP ;BOITUVA ;FLORA VILLE ;ESTRADA MUNICIPAL ROQUE ANTUNES FRAGOZO, N. 826, CS 27 QD 07 - FRENTE VIA INTERNA 06 ;233.000,00;233.000,00;0.00;Casa, 268.30 de área total, 64.14 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712267135
 8787716818861 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ; ESTRADA MUNICIPAL BATISTA FAVORETTI - BTV 435, N. 1311, CS 14 VG 14 ;204.000,00;204.000,00;0.00;Casa, 237.86 de área total, 44.10 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716818861
 8787718477433 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;ESTRADA MUNICIP BATISTA FAVORETTI, N. 1311, CS 64, VG 64 ;201.379,50;194.955,50;0.00;Casa, 0.00 de área total, 44.01 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718477433
 8444424185220 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;RUA OLGA MARIA MAZULQUIM, N. 460, Apto 01, TÉRREO ;147.888,73;142.000,00;0.00;Apartamento, 0.00 de área total, 32.59 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424185220
 8787718567823 ;SP ;BOITUVA ;RESIDENCIAL AGUA BRANCA ;ESTRADA MUNICIPAL BATISTA FAVORETTI - BTV 435, N. 1311, CS 42 VG 42 ;201.193,34;180.000,00;0.00;Casa, 237.86 de área total, 44.01 de área privativa, 88.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718567823
 8787714660357 ;SP ;BONFIM PAULISTA ;BONFIM PAULISTA ;R ALFREDO PUCCI, N. 80, Apto 24, BL A, TR 1 ;110.788,99;188.000,00;41.07;Apartamento, 0.00 de área total, 42.99 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714660357
 8787717844262 ;SP ;BOTUCATU ;VITORIANA ;RODOVIA ALCIDES SOARES, N. 618, Apto 404, 4º PAVIMENTO DO BLOCO 10 ;95.759,61;165.737,24;42.23;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717844262
 8787713576751 ;SP ;BOTUCATU ;VITORIANA ;RODOVIA ALCIDES SOARES, N. 618, Apto 104, BL 11 VG 38 ;83.721,21;143.000,00;41.46;Apartamento, 80.90 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713576751
 8787715301814 ;SP ;BOTUCATU ;BOTUCATU ;RODOVIA ALCIDES SOARES, N. 618, Apto 201, BL 12 ;90.524,85;154.620,95;41.46;Apartamento, 80.91 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715301814
 8555537555474 ;SP ;BOTUCATU ;VILA CIDADE JARDIM ;RUA ORLANDO GAMITO, N. 171, Apto 205, BL7 ;98.963,30;167.000,00;40.75;Apartamento, 105.69 de área total, 47.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537555474
 8787710974373 ;SP ;BOTUCATU ;VITORIANA ;RODOVIA ALCIDES SOARES, N. 618, Apto 301, BL. 1 ;97.778,11;165.000,00;40.75;Apartamento, 68.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710974373
 8787711685855 ;SP ;BOTUCATU ;BOTUCATU ;RUA JOAO FRANCISCO GRAMUGLIA, N. 580, Apto 202, 2º PAVIMENTO, BLOCO 05 ;100.741,08;170.000,00;40.75;Apartamento, 75.78 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711685855
 8787712503718 ;SP ;BOTUCATU ;JARDIM REAL PARK ;RUA PEDRO PIMENTEL, N. 564, Apto 34, BL E TR 03 ;103.704,06;175.000,00;40.75;Apartamento, 93.95 de área total, 41.97 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712503718
 8787713001856 ;SP ;BOTUCATU ;BOTUCATU ;RUA PEDRO PIMENTEL, N. 564, Apto 23, 2º PAVIMENTO, BLOCO C ;100.741,08;170.000,00;40.75;Apartamento, 93.95 de área total, 41.97 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713001856
 8787714528521 ;SP ;BOTUCATU ;CHACARA RECREIO DO HAVAI ;RUA JOAO FRANCISCO GRAMUGLIA, N. 580, Apto 302, BL 04 VG 191 ;101.333,68;171.000,00;40.75;Apartamento, 75.78 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714528521
 8787715634597 ;SP ;BOTUCATU ;VITORIANA ;RODOVIA ALCIDES SOARES, N. 618, Apto 404, 4 PAVIMENTO BL 03 VG N 180 ;98.370,70;166.000,00;40.75;Apartamento, 80.90 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715634597
