id_imovel;endereco;bairro;cidade;valor_minimo_leilao;desconto_percentual;investimento_total_6m;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;score_geral;recomendacao;nivel_risco
 8444408170639 ;AVENIDA DOUTOR ESMERALDO SOARES TARQUINI, N. 924, Apto 13, PAV 02;PARQUE DAS BANDEIRAS;SAO VICENTE;93333.65;48.15;152377.0;216742.5;43656.81;28.65;70.44;ANALISAR_MELHOR;BAIXO
 1555519290270 ;RUA BARAO DE IGUAPE, N. 604, Apto 24,;LIBERDADE;SAO PAULO;135326.01;37.06;199923.09;264228.25;41183.74;20.6;70.38;ANALISAR_MELHOR;BAIXO
 8555531005324 ;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 35, BL III;VILA JOCKEI CLUBE;SAO VICENTE;96071.52;48.63;155330.53;217084.5;41419.56;26.67;70.22;ANALISAR_MELHOR;BAIXO
 1444413820907 ;RUA ROBERTO DE CAMPOS BICUDO, N. 67, Apto 34,;CATIAPOA;SAO VICENTE;118961.0;43.36;183771.27;254832.75;47405.78;25.8;69.43;ANALISAR_MELHOR;BAIXO
 8444414829620 ;RUA MARIO DAVIS LERNER, N. 222, Apto 23;JARDIM RIO BRANCO;SAO VICENTE;105832.8;48.63;166754.1;212510.25;28054.7;16.82;68.73;ANALISAR_MELHOR;BAIXO
 8555524307442 ;RUA ERICO VERISSIMO, N. 708, Apto 04, BL D;VILA JOCKEI CLUBE;SAO VICENTE;110023.19;40.21;172269.81;227216.25;35116.45;20.38;68.23;ANALISAR_MELHOR;BAIXO
 8787706945615 ;RUA PEDRA BRANCA DO AMAPARI, N. 16, Apto T05, TR 02;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;97022.54;45.19;156958.35;259055.5;73570.75;46.87;67.42;ANALISAR_MELHOR;BAIXO
 8787703220156 ;RUA PEDRA BRANCA DO AMAPARI, N. 1800, Apto 211, PAV 2, TORRE 3;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;100181.53;48.63;161670.06;259055.5;69565.79;43.03;67.38;ANALISAR_MELHOR;BAIXO
 8444415522170 ;RUA GROMESORO SILVEIRA, N. 130, Apto 3,;SAMARITA;SAO VICENTE;125436.74;39.56;189143.31;232645.5;25111.94;13.28;67.03;ANALISAR_MELHOR;BAIXO
 8787703029847 ;RUA NOSSA SENHORA DA APARECIDA, N. 132, Apto 11, TIPO A;PARQUE CONTINENTAL;SAO VICENTE;78201.87;42.08;131665.0;152318.25;9787.03;7.43;66.33;ANALISAR_MELHOR;BAIXO
 8787705372549 ;RUA NOSSA SENHORA DA APARECIDA, N. 132, Apto 23, 3º PAV;PARQUE CONTINENTAL;SAO VICENTE;81379.36;41.46;135187.92;154071.0;8193.0;6.06;66.01;ANALISAR_MELHOR;BAIXO
 8555522324161 ;RUA CRUZ DO ESPIRITO SANTO, N. 1026, Apto 12, BL 08;VILA CHABILANDIA;SAO PAULO;81018.46;44.13;136670.93;206753.25;49025.55;35.87;65.91;ANALISAR_MELHOR;BAIXO
 8787710464286 ;RUA AURORA DO TOCANTINS, N. 453, Apto 303, HIS;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;105600.0;40.0;167522.0;259055.5;64591.64;38.56;65.74;ANALISAR_MELHOR;BAIXO
 8444404177442 ;RUA VITALINA MARIA DE JESUS SCHALCH, N. 1206, Apto 52A, BLOCO II 5PAV;JARDIM SAO PAULO(ZONA LESTE);SAO PAULO;103448.74;38.24;165021.64;255972.75;64253.84;38.94;65.57;ANALISAR_MELHOR;BAIXO
 8444402793855 ;AVENIDA UTARO KANAI, N. 841, Apto 31C, CONJ HAB. JARDIM SÃO PAULO;GUAIANAZES;SAO PAULO;85466.19;38.96;141957.49;215165.5;51253.37;36.1;65.29;ANALISAR_MELHOR;BAIXO
 8444415497915 ;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 26, BLOCO III;PARQUE SAO VICENTE;SAO VICENTE;138169.84;42.91;201675.73;217084.5;2026.15;1.0;65.22;ANALISAR_MELHOR;BAIXO
 8444418212954 ;RUA PROFESSOR ANTONIO PEDRO DE JESUS, N. 142, Apto 31,;ESPLANADA DOS BARREIROS;SAO VICENTE;107581.89;43.68;166099.62;176514.75;-175.76;-0.11;65.1;ANALISAR_MELHOR;BAIXO
 8555528879700 ;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 46, BL III;VILA JOCKEI CLUBE;SAO VICENTE;137181.25;41.07;200617.93;217084.5;2925.28;1.46;65.09;ANALISAR_MELHOR;BAIXO
 8555538453489 ;RUA NOVENTA E CINCO, N. 275, Apto 31, PAV 3 BL 01;VILA ROSEIRA II;SAO PAULO;98118.84;45.19;155736.35;217151.0;41127.75;26.41;64.75;ANALISAR_MELHOR;BAIXO
 8787709097933 ;RUA AURORA DO TOCANTINS, N. 237, Apto A05, PAV -1, TORRE 1;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;116047.39;39.56;178805.18;259055.5;55000.94;30.76;64.65;ANALISAR_MELHOR;BAIXO
 8444407987313 ;RUA DOS PEDREIROS (ANTIGA AV TRES-C ), N. 79, Apto 44-A,;GUAIANASES;SAO PAULO;91570.92;38.96;148559.6;215322.25;45766.82;30.81;64.59;ANALISAR_MELHOR;BAIXO
 8555532404028 ;ESTRADA DOM JOAO NERY, N. 3823, Apto 43, BL 05 4º PAV;VILA LOURDES;SAO PAULO;88948.45;43.71;144980.32;202312.0;38414.02;26.5;64.58;ANALISAR_MELHOR;BAIXO
 8444416968024 ;RUA GRACILIANO RAMOS, N. 499, Apto 6, ANDAR 2;VILA JOCKEI CLUBE;SAO VICENTE;98963.3;40.75;154572.73;162193.5;-2110.84;-1.37;64.51;ANALISAR_MELHOR;BAIXO
 8787709351627 ;RUA AURORA DO TOCANTINS, N. 311, Apto 408, TORRE 02;GUAIANAZES;SAO PAULO;118465.05;39.56;181416.25;259055.5;52781.53;29.09;64.42;ANALISAR_MELHOR;BAIXO
 8787709391360 ;RUA AURORA DO TOCANTINS, N. 311, Apto 14, TORRE 02;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;120600.0;40.0;183722.0;259055.5;50821.64;27.66;64.28;ANALISAR_MELHOR;BAIXO
 8296300000074 ;AVENIDA QUINTINO BOCAIUVA, N. 285, Apto 34, SETOR 17 QD 18;CENTRO;SAO VICENTE;116400.0;40.0;175910.0;181858.5;-4963.01;-2.82;64.14;ANALISAR_MELHOR;BAIXO
 8444402452829 ;RUA ELISEU REINALDO MORAES VIEIRA, N. 4670, Apto B033, BL B03 LT B QD 02;JARDIM BRASILIA (ZONA NORTE);SAO PAULO;113012.95;40.21;174258.99;236953.75;41205.91;23.65;63.73;ANALISAR_MELHOR;BAIXO
 8555520076969 ;RUA AVELADA, N. 87, Apto 102, BL 01;VILA MATILDE;SAO PAULO;108444.81;40.75;168812.39;228019.0;38696.65;22.92;63.69;ANALISAR_MELHOR;BAIXO
 8555539162011 ;RUA ORMINDA PINTO, N. 80, Apto 01, TR III;VILA CONCEICAO;SAO PAULO;128468.08;41.07;192009.52;255398.0;40854.91;21.28;63.48;ANALISAR_MELHOR;BAIXO
 8787710395160 ;RUA HIROVO KAMINOBO, N. 980, Apto 44, 4º PAVIMENTO, BL 01;GUAIANAZES;SAO PAULO;105481.84;40.75;164988.39;217151.0;33263.52;20.16;63.27;ANALISAR_MELHOR;BAIXO
 8555537894970 ;AVENIDA DOUTOR JOSE MANIERO, N. 225, Apto 41, T 12;VILA NOVA PARADA;SAO PAULO;117860.63;39.56;179575.48;238364.5;37814.08;21.06;63.26;ANALISAR_MELHOR;BAIXO
 8787712118709 ;PRACA AMIANTO, N. 30, Apto 108, BL 3 MODULO II;VILA LOURDES;SAO PAULO;114000.0;40.0;174971.0;230788.25;35674.47;20.39;63.21;ANALISAR_MELHOR;BAIXO
 8787702508121 ;RUA CARMINE MONETTI, N. 1280, Apto 04, BLOCO 06;JARDIM DAS OLIVEIRAS;SAO PAULO;99081.82;40.75;155924.36;202312.0;29111.58;18.67;63.04;ANALISAR_MELHOR;BAIXO
 1444419075812 ;RUA JOAO BATISTA CALOGERAS, N. 22, Apto 13B, BL 05B, QD 01, LT 01;ITAM PAULISTA;SAO PAULO;107463.17;38.24;167338.23;220808.5;34188.5;20.43;63.0;ANALISAR_MELHOR;BAIXO
 8555530638102 ;AVENIDA CELLULA MATTER, N. 301, Apto 11,;PARQUE CONTINENTAL;SAO VICENTE;77043.32;42.08;128313.36;122222.25;-13424.44;-10.46;62.9;ANALISAR_MELHOR;BAIXO
 8787708876998 ;RUA AGRIMENSOR SUGAYA, N. S/N, Apto 107, BL 03;COLONIA (ZONA LESTE);SAO PAULO;132970.97;39.56;196839.65;254823.25;36290.08;18.44;62.86;ANALISAR_MELHOR;BAIXO
 8444406610887 ;RUA SEVERINO SOUTO MAIOR, N. 108, Apto 43-A,;DISTRITO DE GUAIANAZ;SAO PAULO;87297.61;38.96;142081.42;182875.0;25347.92;17.84;62.69;ANALISAR_MELHOR;BAIXO
 8444430622776 ;AVENIDA GALEAO COUTINHO, N. 165, Apto 4,;PARQUE SAO VICENTE;SAO VICENTE;135539.73;41.07;196695.51;186219.0;-21649.65;-11.01;62.66;ANALISAR_MELHOR;BAIXO
 8787702447599 ;AVENIDA DOUTOR JOSE MANIERO, N. 85, Apto 32, PV 3 TER 10;JARAGUA;SAO PAULO;125113.59;39.56;187408.68;238364.5;31155.86;16.62;62.57;ANALISAR_MELHOR;BAIXO
 8555537628625 ;RUA RAPOSO DA FONSECA, N. 1044, Apto 34, 3º PAVIMENTO - BLOCO 04;CIDADE POPULAR;SAO PAULO;103704.06;40.75;162216.38;202312.0;23763.37;14.65;62.4;ANALISAR_MELHOR;BAIXO
 8787709171602 ;RUA SANTA AMELIA, N. 190, Apto 78, BL 02;JARDIM DO LAGO;SAO PAULO;112420.91;39.56;172482.59;217151.0;26893.45;15.59;62.4;ANALISAR_MELHOR;BAIXO
 8787712417110 ;RUA NAZARE MENEZES, N. 727, Apto 208,;JARDIM LEME;SAO PAULO;118844.06;39.56;179950.58;226399.25;27935.0;15.52;62.39;ANALISAR_MELHOR;BAIXO
 8787709093288 ;RUA JUA MIRIM, N. 350, Apto 203, TR B;GUAIANAZES;SAO PAULO;94815.14;40.75;150362.35;185696.5;20563.51;13.68;62.24;ANALISAR_MELHOR;BAIXO
 8555537455798 ;RUA RAPOSO DA FONSECA, N. 1044, Apto 22, BL 04;CIDADE POPULAR;SAO PAULO;105481.84;40.75;164136.39;202312.0;22131.36;13.48;62.21;ANALISAR_MELHOR;BAIXO
 8555520017350 ;RUA JEQUIRANA DE GOIAS, N. 515, Apto 63, TORRE 6;JARDIM SANTO ANTONIO;SAO PAULO;147565.38;38.77;213270.61;266475.0;31633.51;14.83;62.18;ANALISAR_MELHOR;BAIXO
 8787709674647 ;RUA TOMOICHI SHIMIZU, N. 380, Apto 502, TORRE 03 VG 352;COLONIA (ZONA LESTE);SAO PAULO;121487.11;39.56;182745.08;225354.25;24724.73;13.53;62.07;ANALISAR_MELHOR;BAIXO
 8787709142440 ;RUA CARMEM SILVA, N. 55, Apto 106, TORRE 01;VILA COSMOPOLITA;SAO PAULO;100148.49;40.75;157779.36;191914.25;19227.03;12.19;61.99;ANALISAR_MELHOR;BAIXO
 8555535834767 ;RUA AGRIMENSOR SUGAYA, N. 1255, Apto 23, TORRE 09;GUAIANAZES;SAO PAULO;107852.22;40.75;166696.4;202312.0;19955.35;11.97;61.95;ANALISAR_MELHOR;BAIXO
 8555528324627 ;RUA SANTA ADELAIDE, N. 155, Apto 86, TORRE A;SANTA ETELVINA;SAO PAULO;141525.56;40.0;205877.61;251322.5;25810.71;12.54;61.95;ANALISAR_MELHOR;BAIXO
 8787709725233 ;RUA SHO YOSHIOKA, N. 511, Apto 806, TORRE 02;GLEBA DO PESSEGO;SAO PAULO;129423.83;39.81;191799.73;233766.5;23749.66;12.38;61.91;ANALISAR_MELHOR;BAIXO
