id_imovel;data_analise;endereco;bairro;cidade;tipo_imovel;area_privativa_m2;quartos;vagas;link_imovel;valor_avaliacao;valor_minimo_leilao;desconto_percentual;tipo_leilao;data_leilao;modalidade;edital_ocupacao;edital_debitos_iptu;edital_debitos_condominio;edital_outros_debitos;edital_total_debitos;edital_comissao_leiloeiro_pct;edital_prazo_pagamento;edital_riscos;edital_score;matricula_numero;matricula_cartorio;matricula_gravames_extintos;matricula_gravames_transferidos;matricula_valor_gravames;matricula_irregularidades;matricula_score;mercado_preco_m2_regiao;mercado_valor_estimado;mercado_condominio_mensal;mercado_iptu_mensal;mercado_aluguel_estimado;mercado_liquidez;mercado_tempo_venda_medio_dias;mercado_fonte_pesquisa;custo_valor_arrematacao;custo_comissao_leiloeiro;custo_itbi;custo_escritura;custo_registro;custo_certidoes;custo_advocaticios;custo_desocupacao;custo_debitos_edital;custo_gravames_matricula;custo_reforma_estimado;custo_total_aquisicao;investimento_total;manutencao_total_6m;investimento_total_6m;venda_comissao_corretor;venda_irpf_ganho_capital;venda_custos_totais;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;cenario_roi_mensal;cenario_margem_seguranca;score_edital;score_matricula;score_localizacao;score_financeiro;score_liquidez;score_geral;recomendacao;nivel_risco;justificativa;pontos_atencao;proximos_passos
 8787703220156 ;2025-12-13;RUA PEDRA BRANCA DO AMAPARI, N. 1800, Apto 211, PAV 2, TORRE 3;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;Apartamento;49.58;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703220156;195000.0;100181.53;48.63;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;272690.0;500;150;1735.3;media;90;estimativa;100181.53;5009.08;3005.45;2200;1800;800.0;4000;10000;15000;0;14874.0;56688.53;156870.06;4800;161670.06;15543.33;12276.32;27819.65;259055.5;69565.79;43.03;7.17;37.59;50.0;100;64.65;58.87;65.0;67.38;ANALISAR_MELHOR;BAIXO;Score de 67/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444414829620 ;2025-12-13;RUA MARIO DAVIS LERNER, N. 222, Apto 23;JARDIM RIO BRANCO;SAO VICENTE;Apartamento;49.71;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414829620;206000.0;105832.8;48.63;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;223695.0;500;150;1739.8500000000001;media;90;estimativa;105832.8;5291.64;2116.66;2200;1800;800.0;4000;10000;15000;0;14913.0;56121.3;161954.1;4800;166754.1;12750.61;4950.83;17701.44;212510.25;28054.7;16.82;2.8;21.53;50.0;100;84.65;44.29;65.0;68.73;ANALISAR_MELHOR;BAIXO;Score de 69/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555531005324 ;2025-12-13;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 35, BL III;VILA JOCKEI CLUBE;SAO VICENTE;Apartamento;50.78;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531005324;187000.0;96071.52;48.63;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;228510.0;500;150;1777.3;media;90;estimativa;96071.52;4803.58;1921.43;1500;1200;800.0;4000;10000;15000;0;15234.0;54459.01;150530.53;4800;155330.53;13025.07;7309.34;20334.41;217084.5;41419.56;26.67;4.44;28.45;50.0;100;84.65;50.21;65.0;70.22;ANALISAR_MELHOR;BAIXO;Score de 70/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444408170639 ;2025-12-13;AVENIDA DOUTOR ESMERALDO SOARES TARQUINI, N. 924, Apto 13, PAV 02;PARQUE DAS BANDEIRAS;SAO VICENTE;Apartamento;50.7;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408170639;180000.0;93333.65;48.15;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;228150.0;500;150;1774.5;media;90;estimativa;93333.65;4666.68;1866.67;1500;1200;800.0;4000;10000;15000;0;15210.0;54243.35;147577.0;4800;152377.0;13004.55;7704.14;20708.69;216742.5;43656.81;28.65;4.78;29.7;50.0;100;84.65;51.09;65.0;70.44;ANALISAR_MELHOR;BAIXO;Score de 70/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787713456489 ;2025-12-13;RUA OSORIO FRANCO VILHENA, N. 1260, Apto 605, TR A;VILA NOVA CURUCA;SAO PAULO;Apartamento;32.59;1;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713456489;250000.0;130114.71;47.96;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;179245.00000000003;500;150;1140.65;media;90;estimativa;130114.71;6505.74;3903.44;2200;1800;800.0;4000;10000;15000;0;9777.0;53986.18;184100.89;4800;188900.89;10216.97;0;10216.97;170282.75;-28835.1;-15.26;-2.54;-10.93;50.0;100;64.65;19.7;65.0;57.59;ANALISAR_MELHOR;BAIXO;Score de 58/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 1444418501125 ;2025-12-13;AVENIDA PRESIDENTE KENNEDY, N. 14078, Apto 01,;SOLEMAR;PRAIA GRANDE;Apartamento;59.18;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418501125;229187.0;122617.29;46.5;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;266310.0;500;150;2071.3;media;90;estimativa;122617.29;6130.86;2452.35;2200;1800;800.0;4000;10000;15000;0;17754.0;60137.21;182754.5;4800;187554.5;15179.67;7539.05;22718.72;252994.5;42721.28;22.78;3.8;25.87;50.0;100;54.65;46.88;65.0;61.88;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787706945615 ;2025-12-13;RUA PEDRA BRANCA DO AMAPARI, N. 16, Apto T05, TR 02;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;Apartamento;49.58;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706945615;177000.0;97022.54;45.19;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;272690.0;500;150;1735.3;media;90;estimativa;97022.54;4851.13;2910.68;1500;1200;800.0;4000;10000;15000;0;14874.0;55135.81;152158.35;4800;156958.35;15543.33;12983.07;28526.4;259055.5;73570.75;46.87;7.81;39.41;50.0;100;64.65;59.02;65.0;67.42;ANALISAR_MELHOR;BAIXO;Score de 67/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555538453489 ;2025-12-13;RUA NOVENTA E CINCO, N. 275, Apto 31, PAV 3 BL 01;VILA ROSEIRA II;SAO PAULO;Apartamento;41.56;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538453489;179000.0;98118.84;45.19;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;228580.0;500;150;1454.6000000000001;media;90;estimativa;98118.84;4905.94;2943.57;1500;1200;800.0;4000;10000;15000;0;12468.0;52817.51;150936.35;4800;155736.35;13029.06;7257.84;20286.9;217151.0;41127.75;26.41;4.4;28.28;50.0;100;64.65;48.34;65.0;64.75;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444411641671 ;2025-12-13;RUA CORONEL SILVA TELES, N. 244, Apto 63, 6º ANDAR;PARQUE SAO VICENTE;SAO VICENTE;Apartamento;27.96;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411641671;170000.0;94493.47;44.42;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;125820.0;500;150;978.6;media;90;estimativa;94493.47;4724.67;1889.87;1500;1200;800.0;4000;10000;15000;0;8388.0;47502.54;141996.01;4800;146796.01;7171.74;0;7171.74;119529.0;-34438.75;-23.46;-3.91;-22.81;50.0;100;84.65;9.94;65.0;60.15;ANALISAR_MELHOR;BAIXO;Score de 60/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555522324161 ;2025-12-13;RUA CRUZ DO ESPIRITO SANTO, N. 1026, Apto 12, BL 08;VILA CHABILANDIA;SAO PAULO;Apartamento;39.57;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555522324161;145000.0;81018.46;44.13;2a Praca;;Licitação Aberta;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;217635.0;500;150;1384.95;media;90;estimativa;81018.46;4050.92;2430.55;1500;1200;800.0;4000;10000;15000;0;11871.0;50852.47;131870.93;4800;136670.93;12405.19;8651.57;21056.76;206753.25;49025.55;35.87;5.98;33.9;50.0;100;64.65;52.98;65.0;65.91;ANALISAR_MELHOR;BAIXO;Score de 66/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
