id_imovel;data_analise;endereco;bairro;cidade;tipo_imovel;area_privativa_m2;quartos;vagas;link_imovel;valor_avaliacao;valor_minimo_leilao;desconto_percentual;tipo_leilao;data_leilao;modalidade;edital_ocupacao;edital_debitos_iptu;edital_debitos_condominio;edital_outros_debitos;edital_total_debitos;edital_comissao_leiloeiro_pct;edital_prazo_pagamento;edital_riscos;edital_score;matricula_numero;matricula_cartorio;matricula_gravames_extintos;matricula_gravames_transferidos;matricula_valor_gravames;matricula_irregularidades;matricula_score;mercado_preco_m2_regiao;mercado_preco_m2_min;mercado_preco_m2_max;mercado_valor_estimado;mercado_valor_min;mercado_valor_max;mercado_condominio_mensal;mercado_iptu_mensal;mercado_aluguel_estimado;mercado_liquidez;mercado_demanda;mercado_tempo_venda_medio_dias;mercado_fonte;mercado_confianca;mercado_amostras;custo_valor_arrematacao;custo_comissao_leiloeiro;custo_itbi;custo_escritura;custo_registro;custo_certidoes;custo_advocaticios;custo_desocupacao;custo_debitos_edital;custo_gravames_matricula;custo_reforma_estimado;custo_total_aquisicao;investimento_total;manutencao_total_6m;investimento_total_6m;venda_comissao_corretor;venda_irpf_ganho_capital;venda_custos_totais;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;cenario_roi_mensal;cenario_margem_seguranca;score_edital;score_matricula;score_localizacao;score_financeiro;score_liquidez;score_geral;recomendacao;nivel_risco;justificativa;pontos_atencao;proximos_passos
 8555532404028 ;2025-12-13;ESTRADA DOM JOAO NERY, N. 3823, Apto 43, BL 05 4º PAV;VILA LOURDES;SAO PAULO;Apartamento;38.72;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532404028;158000.0;88948.45;43.71;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;6500;5200;7800;251680.0;201344.0;302016.0;500;130;1355.2;media;media;72;estimativa_mercado;baixa;0;88948.45;4447.42;2668.45;1500;1200;800.0;4000;10000;15000;0;11616.0;51231.87;140180.32;4680;144860.32;14345.76;11983.49;26329.25;239096.0;67906.43;46.88;7.81;39.41;50.0;100;64.65;58.28;74.0;68.13;ANALISAR_MELHOR;BAIXO;Score de 68/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444417414820 ;2025-12-13;RUA CORONEL SILVA TELLES, N. 268, Apto 33,;PARQUE SAO VICENTE;SAO VICENTE;Apartamento;39.85;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417414820;234000.0;131801.91;43.68;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3600;5400;179325.0;143460.0;215190.0;380;90;1394.75;media;media;90;estimativa_mercado;baixa;0;131801.91;6590.1;2636.04;2200;1800;800.0;4000;10000;15000;0;11955.0;54981.14;186783.05;3720;190503.05;10221.52;0;10221.52;170358.75;-30365.82;-15.94;-2.66;-11.82;50.0;100;84.65;16.95;65.0;61.9;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444418212954 ;2025-12-13;RUA PROFESSOR ANTONIO PEDRO DE JESUS, N. 142, Apto 31,;ESPLANADA DOS BARREIROS;SAO VICENTE;Apartamento;41.29;1;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418212954;191000.0;107581.89;43.68;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3600;5400;185805.0;148644.0;222966.0;380;90;1445.1499999999999;media;media;90;estimativa_mercado;baixa;0;107581.89;5379.09;2151.64;2200;1800;800.0;4000;10000;15000;0;12387.0;53717.73;161299.62;3720;165019.62;10590.89;135.64;10726.52;176514.75;768.6;0.47;0.08;6.51;50.0;100;84.65;30.21;65.0;65.22;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 1444413820907 ;2025-12-13;RUA ROBERTO DE CAMPOS BICUDO, N. 67, Apto 34,;CATIAPOA;SAO VICENTE;Apartamento;59.61;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413820907;210000.0;118961.0;43.36;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3825;5175;268245.0;228008.25;308481.75;380;95;2086.35;media;media;90;base_regional;media;50;118961.0;5948.05;2379.22;2200;1800;800.0;4000;10000;15000;0;17883.0;60010.27;178971.27;3750;182721.27;15289.97;8523.23;23813.19;254832.75;48298.28;26.43;4.41;28.3;50.0;100;84.65;47.44;65.0;69.52;ANALISAR_MELHOR;BAIXO;Score de 70/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444415497915 ;2025-12-13;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 26, BLOCO III;PARQUE SAO VICENTE;SAO VICENTE;Apartamento;50.78;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415497915;242000.0;138169.84;42.91;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3600;5400;228510.0;182808.0;274212.0;380;90;1777.3;media;media;90;estimativa_mercado;baixa;0;138169.84;6908.49;2763.4;2200;1800;800.0;4000;10000;15000;0;15234.0;58705.89;196875.73;3720;200595.73;13025.07;519.55;13544.62;217084.5;2944.15;1.47;0.24;7.6;50.0;100;84.65;30.62;65.0;65.32;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444428796371 ;2025-12-13;RUA CORREIA RIBEIRO, N. 138, Apto 11, 138 146;JARDIM SOARES;SAO PAULO;Apartamento;38.22;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428796371;220000.0;126322.42;42.59;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;6500;5200;7800;248430.0;198744.0;298116.0;500;130;1337.7;media;media;90;estimativa_mercado;baixa;0;126322.42;6316.12;3789.67;2200;1800;800.0;4000;10000;15000;0;11466.0;55371.79;181694.21;4680;186374.21;14160.51;5321.07;19481.58;236008.5;30152.71;16.18;2.7;21.03;50.0;100;64.65;40.86;65.0;62.88;ANALISAR_MELHOR;BAIXO;Score de 63/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787703029847 ;2025-12-13;RUA NOSSA SENHORA DA APARECIDA, N. 132, Apto 11, TIPO A;PARQUE CONTINENTAL;SAO VICENTE;Apartamento;35.63;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703029847;135000.0;78201.87;42.08;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4000;3400;4600;142520.0;121142.00000000001;163898.0;320;80;1247.0500000000002;media;media;72;base_regional;media;50;78201.87;3910.09;1564.04;1500;1200;800.0;4000;10000;15000;0;10689.0;48663.13;126865.0;3300;130165.0;8123.64;0;8123.64;135394.0;-2894.64;-2.22;-0.37;3.86;50.0;100;84.65;27.41;74.0;65.42;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555530638102 ;2025-12-13;AVENIDA CELLULA MATTER, N. 301, Apto 11,;PARQUE CONTINENTAL;SAO VICENTE;Apartamento;28.59;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530638102;133000.0;77043.32;42.08;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4000;3400;4600;114360.0;97206.0;131514.0;320;80;1000.65;media;media;72;base_regional;media;50;77043.32;3852.17;1540.87;1500;1200;800.0;4000;10000;15000;0;8577.0;46470.04;123513.36;3300;126813.36;6518.52;0;6518.52;108642.0;-24689.88;-19.47;-3.24;-16.73;50.0;100;84.65;12.81;74.0;61.77;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787708918569 ;2025-12-13;RUA 17 DE JANEIRO, N. 185, Apto 608, TORRE B;PARAISO DO MORUMBI;SAO PAULO;Apartamento;24.0;1;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708918569;242000.0;140768.8;41.84;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;6500;5200;7800;156000.0;124800.0;187200.0;500;130;840.0;media;media;90;estimativa_mercado;baixa;0;140768.8;7038.44;4223.06;2200;1800;800.0;4000;10000;15000;0;7200.0;52261.5;193030.3;4680;197710.3;8892.0;0;8892.0;148200.0;-58402.3;-29.54;-4.92;-33.41;50.0;100;64.65;1.83;65.0;53.12;ANALISAR_MELHOR;BAIXO;Score de 53/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787705372549 ;2025-12-13;RUA NOSSA SENHORA DA APARECIDA, N. 132, Apto 23, 3º PAV;PARQUE CONTINENTAL;SAO VICENTE;Apartamento;36.04;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705372549;139000.0;81379.36;41.46;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4000;3400;4600;144160.0;122536.0;165784.0;320;80;1261.3999999999999;media;media;72;base_regional;media;50;81379.36;4068.97;1627.59;1500;1200;800.0;4000;10000;15000;0;10812.0;49008.56;130387.92;3300;133687.92;8217.12;0;8217.12;136952.0;-4953.04;-3.7;-0.62;2.38;50.0;100;84.65;26.0;74.0;65.06;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
