id_imovel;endereco;bairro;cidade;valor_minimo_leilao;desconto_percentual;investimento_total_6m;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;score_geral;recomendacao;nivel_risco
 8787702573535 ;RUA KENKITI SHIMOMOTO, N. 1150, Apto 4, BL 04;13 DIST BUTANTA;SAO PAULO;145116.17;38.77;208873.47;315856.0;74826.49;35.82;65.23;ANALISAR_MELHOR;BAIXO
 8444418212954 ;RUA PROFESSOR ANTONIO PEDRO DE JESUS, N. 142, Apto 31,;ESPLANADA DOS BARREIROS;SAO VICENTE;107581.89;43.68;165019.62;176514.75;768.6;0.47;65.22;ANALISAR_MELHOR;BAIXO
 8444415522170 ;RUA GROMESORO SILVEIRA, N. 130, Apto 3,;SAMARITA;SAO VICENTE;125436.74;39.56;187643.31;206796.0;5733.19;3.06;65.21;ANALISAR_MELHOR;BAIXO
 8555537628625 ;RUA RAPOSO DA FONSECA, N. 1044, Apto 34, 3º PAVIMENTO - BLOCO 04;CIDADE POPULAR;SAO PAULO;103704.06;40.75;162096.38;239096.0;53255.78;32.85;65.09;ANALISAR_MELHOR;BAIXO
 8787709171602 ;RUA SANTA AMELIA, N. 190, Apto 78, BL 02;JARDIM DO LAGO;SAO PAULO;112420.91;39.56;172362.59;256633.0;58541.56;33.96;65.09;ANALISAR_MELHOR;BAIXO
 8787712417110 ;RUA NAZARE MENEZES, N. 727, Apto 208,;JARDIM LEME;SAO PAULO;118844.06;39.56;179830.58;267562.75;60926.64;33.88;65.08;ANALISAR_MELHOR;BAIXO
 8787705372549 ;RUA NOSSA SENHORA DA APARECIDA, N. 132, Apto 23, 3º PAV;PARQUE CONTINENTAL;SAO VICENTE;81379.36;41.46;133687.92;136952.0;-4953.04;-3.7;65.06;ANALISAR_MELHOR;BAIXO
 8555537455798 ;RUA RAPOSO DA FONSECA, N. 1044, Apto 22, BL 04;CIDADE POPULAR;SAO PAULO;105481.84;40.75;164016.39;239096.0;51623.77;31.47;64.9;ANALISAR_MELHOR;BAIXO
 8555520017350 ;RUA JEQUIRANA DE GOIAS, N. 515, Apto 63, TORRE 6;JARDIM SANTO ANTONIO;SAO PAULO;147565.38;38.77;213150.61;314925.0;70447.06;33.05;64.87;ANALISAR_MELHOR;BAIXO
 8787709674647 ;RUA TOMOICHI SHIMIZU, N. 380, Apto 502, TORRE 03 VG 352;COLONIA (ZONA LESTE);SAO PAULO;121487.11;39.56;182625.08;266327.75;57564.56;31.52;64.76;ANALISAR_MELHOR;BAIXO
 8787709142440 ;RUA CARMEM SILVA, N. 55, Apto 106, TORRE 01;VILA COSMOPOLITA;SAO PAULO;100148.49;40.75;157659.36;226807.75;47208.93;29.94;64.69;ANALISAR_MELHOR;BAIXO
 8555535834767 ;RUA AGRIMENSOR SUGAYA, N. 1255, Apto 23, TORRE 09;GUAIANAZES;SAO PAULO;107852.22;40.75;166576.4;239096.0;49447.76;29.68;64.65;ANALISAR_MELHOR;BAIXO
 8555528324627 ;RUA SANTA ADELAIDE, N. 155, Apto 86, TORRE A;SANTA ETELVINA;SAO PAULO;141525.56;40.0;205757.61;297017.5;62423.01;30.34;64.65;ANALISAR_MELHOR;BAIXO
 1555527956915 ;AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, N. 12724, Apto 41, BL 07;SITIO AREIAO;SAO PAULO;139731.97;37.06;203982.53;300352.0;66596.1;32.65;64.6;ANALISAR_MELHOR;BAIXO
 8787702695118 ;RUA BENTO SOARES MOTA, N. 65, Apto 61, BL 03;GUAIANAZES;SAO PAULO;117860.63;39.56;178246.48;256818.25;53688.27;30.12;64.56;ANALISAR_MELHOR;BAIXO
 8787706945615 ;RUA PEDRA BRANCA DO AMAPARI, N. 16, Apto T05, TR 02;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;97022.54;45.19;155728.35;202534.3;29455.81;18.91;64.53;ANALISAR_MELHOR;BAIXO
 8787710738211 ;RUA ENEAS CAMARGO, N. 388, Apto 28, BL 3;CHACARA MARIA TRINDADE;SAO PAULO;118465.05;39.56;178890.25;256633.0;52993.05;29.62;64.5;ANALISAR_MELHOR;BAIXO
 8787710383227 ;RUA ENEAS CAMARGO, N. 388, Apto 01, BL 04 TÉRREO;CHACARA MARIA TRINDADE;SAO PAULO;120000.0;40.0;180548.0;256633.0;51583.97;28.57;64.41;ANALISAR_MELHOR;BAIXO
 8787706586623 ;RUA KENKITI SHIMOMOTO, N. 1300, Apto 22, BL 01;JARDIM BOA VISTA (ZONA OESTE);SAO PAULO;114838.57;39.56;174565.66;248235.0;49958.95;28.62;64.36;ANALISAR_MELHOR;BAIXO
 8787707433669 ;RUA ADERVAL ALVES RODRIGUES, N. 41, Apto 308, 3° PAVIMENTO;PARQUE DOM JOAO NERI;SAO PAULO;117860.63;39.56;178078.48;253360.25;51068.13;28.68;64.36;ANALISAR_MELHOR;BAIXO
 8787710737576 ;RUA ITAMBU, N. 118, Apto 46,  BL 02;VILA SANTOS;SAO PAULO;122091.53;39.56;182974.86;260091.0;52284.08;28.57;64.35;ANALISAR_MELHOR;BAIXO
 8555539054340 ;RUA ADERVAL ALVES RODRIGUES, N. 260, Apto D011, TORRE D;PARQUE DOM JOAO NERI;SAO PAULO;144503.86;38.77;209061.17;298808.25;61045.79;29.2;64.34;ANALISAR_MELHOR;BAIXO
 8444416968024 ;RUA GRACILIANO RAMOS, N. 499, Apto 6, ANDAR 2;VILA JOCKEI CLUBE;SAO VICENTE;98963.3;40.75;153282.73;151380.6;-10984.97;-7.17;64.3;ANALISAR_MELHOR;BAIXO
 8787706338328 ;RUA SAVERIO VALENTE, N. 635, Apto 81, BL 05;PARQUE NACOES UNIDAS;SAO PAULO;120882.7;39.56;181501.32;256633.0;50773.65;27.97;64.27;ANALISAR_MELHOR;BAIXO
 8296300000074 ;AVENIDA QUINTINO BOCAIUVA, N. 285, Apto 34, SETOR 17 QD 18;CENTRO;SAO VICENTE;116400.0;40.0;174860.0;181858.5;-3913.01;-2.24;64.25;ANALISAR_MELHOR;BAIXO
